words,tag
Conshohocken,O
PA,O
19428,O
125,O
E,O
Elm,O
Street,O
Suite,O
400,O
100,O
Airport,O
KPG,O
III,O
LLC,O
Remit,O
payment,O
to,O
Invoice,O
For,O
Invoice,O
Date,O
100,O
Airport,O
KPG,O
III,O
LLC,O
Unit,O
Amount,O
INVOICE,O
PO,O
Box,O
713847,O
Cincinnati,O
OH,O
45271-3847,O
200,O
Stevens,O
Drive,O
Suite,O
100,O
Lester,O
PA,O
19113,O
AmeriHealth,O
Caritas,O
Charge,O
Date,O
Description,O
Please,O
detach,O
and,O
enclose,O
this,O
portion,O
with,O
your,O
payment,O
to,O
Ensure,O
Proper,O
Application,O
of,O
your,O
Payment,O
Amount,O
Enclosed,O
Due,O
Date,O
200,O
Stevens,O
Drive,O
Suite,O
100,O
Lester,O
PA,O
19113,O
AmeriHealth,O
Caritas,O
Billing,O
Contact,O
Meashirl,O
Brown,O
Email,O
Contact,O
mbrown1@amerihealthcaritas.com,O
Amount,O
Due,O
"17,657.53",O
Invoice,O
Number,O
6/1/2018,O
Invoice,O
Number,O
39015,O
39015,O
6/1/2018,O
100,O
6/1/2018,O
"17,657.53",O
Electric,O
04/27/18-05/16/18,O
"17,657.53Balance",O
Please,O
pay,O
by,O
due,O
date,O
to,O
avoid,O
late,O
charges,O
If,O
you,O
have,O
any,O
questions,O
please,O
contact,O
Tenzin,O
Yeshi,O
at,O
610-980-7000,O
PO#16299,O
Page,O
1,O
of,O
2,O
Account,O
Representative,O
Your,O
major,O
account,O
rep,O
is,O
CHRIS,O
PAQUETTE,O
If,O
you,O
have,O
any,O
questions,O
about,O
this,O
bill,O
please,O
contact,O
us,O
at,O
215-841-5527,O
or,O
by,O
writing,O
PECO,O
2301,O
Market,O
St,O
S10-1,O
Philadelphia,O
PA,O
19103-1380,O
Online,O
peco.com,O
In,O
Person,O
2301,O
Market,O
St,O
Philadelphia,O
PA,O
19103,O
By,O
Phone,O
215-841-5527,O
2,O
Name,O
100,O
AIRPORT,O
KPG,O
III,O
LLC,O
Emergency,O
and,O
Repair,O
Account,O
Number,O
Phone,O
Number,O
Service,O
Address,O
92990-35018,O
610-980-7000,O
100,O
Stevens,O
Dr,O
A1,O
1,O
Lester,O
800-841-4141,O
This,O
is,O
the,O
number,O
to,O
call,O
to,O
report,O
power,O
outages,O
gas,O
leaks,O
or,O
odors,O
and,O
safety,O
hazards,O
related,O
to,O
PECO,O
Equipment,O
TAXES,O
&,O
FEES,O
ELECTRIC,O
SUPPLY,O
Hudson,O
Energy,O
5251,O
Westheimer,O
Rd,O
Suite,O
1000,O
Houston,O
TX,O
77056,O
877-483-7669,O
PECO,O
ELECTRIC,O
DELIVERY,O
ELECTRIC,O
"$17,657.53",O
Billing,O
Summary,O
Bill,O
Date,O
05/23/2018,O
Thank,O
you,O
for,O
your,O
payment,O
of,O
"$17,311.65",O
on,O
05/21/2018,O
Thank,O
you,O
for,O
your,O
payment,O
of,O
"$18,983.48",O
on,O
04/20/2018,O
Current,O
Period,O
Charges,O
Electric,O
"$17,657.53",O
Total,O
New,O
Charges,O
"$17,657.53",O
Total,O
Amount,O
Due,O
on,O
06/18/2018,O
"$17,657.53",O
General,O
Information,O
Next,O
scheduled,O
meter,O
reading:06/19/2018,O
215-841-5527,O
If,O
you,O
have,O
any,O
questions,O
or,O
concerns,O
please,O
call,O
800-494-4000,O
before,O
the,O
due,O
date,O
Si,O
tiene,O
alguna,O
pregunta,O
favor,O
de,O
llamar,O
al,O
numero,O
1-800-494-4000,O
antes,O
de,O
la,O
fecha,O
de,O
vencimiento,O
peco.com/service,O
Customer,O
Self,O
Service,O
-,O
Manage,O
Your,O
Account,O
24/7,O
Start,O
stop,O
and,O
move,O
your,O
service,O
Return,O
only,O
this,O
portion,O
with,O
your,O
check,O
made,O
payable,O
to,O
PECO,O
Please,O
write,O
your,O
account,O
number,O
on,O
your,O
check,O
2301,O
Market,O
Street,O
Philadelphia,O
PA,O
19103-1380,O
Pay,O
Today!,O
peco.com/ebill,O
Go,O
paperless,O
receive,O
and,O
pay,O
your,O
bill,O
online,O
Enroll,O
in,O
Automatic,O
